order_item_id,order_id,product_id,quantity,unit_price,subtotal,created_at
ITEM_0000000001,ORD_00000001,PROD_000021,5,2370.94,11854.7,2025-10-06T20:25:33.139046Z
ITEM_0000000002,ORD_00000001,PROD_000245,5,1094.71,5473.55,2025-10-06T07:15:21.884057Z
ITEM_0000000003,ORD_00000002,PROD_000063,6,120.86,725.16,2025-06-01T07:36:10.839535Z
ITEM_0000000004,ORD_00000002,PROD_000297,4,1740.89,6963.56,2025-06-01T02:28:41.482439Z
ITEM_0000000005,ORD_00000002,PROD_000172,3,2136.63,6409.89,2025-06-01T07:36:41.290353Z
ITEM_0000000006,ORD_00000003,PROD_000109,2,1728.54,3457.08,2026-06-11T20:20:13.366731Z
ITEM_0000000007,ORD_00000003,PROD_000040,1,2096.49,2096.49,2026-06-11T22:21:31.368803Z
ITEM_0000000008,ORD_00000003,PROD_000073,2,541.93,1083.86,2026-06-11T05:03:39.284870Z
ITEM_0000000009,ORD_00000004,PROD_000267,7,1935.61,13549.27,2026-04-06T10:20:01.419153Z
ITEM_0000000010,ORD_00000005,PROD_000077,2,1663.81,3327.62,2025-07-12T00:06:54.550053Z
ITEM_0000000011,ORD_00000005,PROD_000259,6,49.31,295.86,2025-07-12T20:39:26.640989Z
ITEM_0000000012,ORD_00000005,PROD_000059,3,1119.42,3358.26,2025-07-12T04:48:54.904564Z
ITEM_0000000013,ORD_00000005,PROD_000126,4,542.02,2168.08,2025-07-12T14:20:13.554350Z
ITEM_0000000014,ORD_00000005,PROD_000258,2,234.74,469.48,2025-07-12T03:05:20.751451Z
ITEM_0000000015,ORD_00000006,PROD_000064,9,1755.86,15802.74,2025-02-19T07:21:45.262836Z
ITEM_0000000016,ORD_00000006,PROD_000087,4,1008.42,6674.93,2025-02-19T21:15:36.298310Z
ITEM_0000000017,ORD_00000007,PROD_000128,1,1198.75,1198.75,2024-10-29T01:28:36.811378Z
ITEM_0000000018,ORD_00000008,PROD_000173,5,1674.83,8374.15,2024-10-18T08:42:53.090066Z
ITEM_0000000019,ORD_00000008,PROD_000172,4,2136.63,8546.52,2024-10-18T03:12:13.706857Z
ITEM_0000000020,ORD_00000008,PROD_000201,4,231.7,926.8,2024-10-18T23:51:00.147302Z
ITEM_0000000021,ORD_00000008,PROD_000035,4,2224.74,8898.96,2024-10-18T13:44:48.921979Z
ITEM_0000000022,ORD_00000008,PROD_000060,5,85.37,426.85,2024-10-18T20:39:06.699382Z
ITEM_0000000023,ORD_00000009,PROD_000139,7,2148.08,7911.28,2025-12-09T03:18:07.298051Z
ITEM_0000000024,ORD_00000009,PROD_000263,5,1598.66,7993.3,2025-12-09T22:45:25.945061Z
ITEM_0000000025,ORD_00000009,PROD_000098,7,530.54,3713.78,2025-12-09T03:18:54.176589Z
ITEM_0000000026,ORD_00000009,PROD_000079,3,94.54,283.62,2025-12-09T03:53:10.860661Z
ITEM_0000000027,ORD_00000009,PROD_000056,6,515.03,3090.18,2025-12-09T09:56:02.159537Z
ITEM_0000000028,ORD_00000010,PROD_000127,8,216.66,1733.28,2026-04-11T12:29:56.700474Z
ITEM_0000000029,ORD_00000011,PROD_000265,5,898.16,4490.8,2024-12-21T04:13:06.376757Z
ITEM_0000000030,ORD_00000012,PROD_000245,2,1094.71,1333.7,2025-03-01T20:15:49.165778Z
ITEM_0000000031,ORD_00000012,PROD_000127,4,216.66,866.64,2025-03-01T05:15:34.444503Z
ITEM_0000000032,ORD_00000012,PROD_000021,5,2370.94,11854.7,2025-03-01T15:24:01.326040Z
ITEM_0000000033,ORD_00000012,PROD_000102,6,675.56,4053.36,2025-03-01T17:31:40.740377Z
ITEM_0000000034,ORD_00000013,PROD_000124,1,1499.22,1499.22,2026-02-08T22:02:56.829819Z
ITEM_0000000035,ORD_00000014,PROD_000107,2,1568.28,3136.56,2026-03-12T15:54:27.789007Z
ITEM_0000000036,ORD_00000014,PROD_000120,3,1766.7,5300.1,2026-03-12T22:11:14.582537Z
ITEM_0000000037,ORD_00000014,PROD_000283,2,1095.74,2191.48,2026-03-12T16:36:12.951934Z
ITEM_0000000038,ORD_00000014,PROD_000099,2,1345.94,2691.88,2026-03-12T14:35:41.447195Z
ITEM_0000000039,ORD_00000014,PROD_000245,1,1094.71,1094.71,2026-03-12T08:11:41.918975Z
ITEM_0000000040,ORD_00000015,PROD_000160,8,204.02,1801.78,2025-03-16T14:46:03.362997Z
ITEM_0000000041,ORD_00000015,PROD_000002,6,281.06,1686.36,2025-03-16T15:23:00.758345Z
ITEM_0000000042,ORD_00000016,PROD_000167,7,1172.4,8206.8,2025-04-22T11:04:39.819087Z
ITEM_0000000043,ORD_00000017,PROD_000182,2,683.74,1367.48,2025-12-08T23:45:59.961262Z
ITEM_0000000044,ORD_00000017,PROD_000211,5,1541.5,7707.5,2025-12-08T09:21:06.705192Z
ITEM_0000000045,ORD_00000018,PROD_000215,3,444.61,1333.83,2025-04-22T15:53:32.825067Z
ITEM_0000000046,ORD_00000018,PROD_000021,3,2370.94,7112.82,2025-04-22T06:56:52.711385Z
ITEM_0000000047,ORD_00000019,PROD_000062,3,201.48,604.44,2025-06-22T05:28:47.332580Z
ITEM_0000000048,ORD_00000019,PROD_000217,4,2060.64,8242.56,2025-06-22T15:57:52.228020Z
