product_id,product_name,category,price,stock,created_at,updated_at
PROD_000001,ProDock Elite,Electronics,914.5,442,2025-07-12T20:58:29.024911Z,2026-06-23T23:04:21.711160Z
PROD_000002,StreamDeck Max,Electronics,281.06,468,2024-09-09T13:38:30.937476Z,2024-11-05T05:58:07.400967Z
PROD_000003,CoreSwitch Max,Storage,458.01,602,2024-10-15T23:40:54.879838Z,2026-05-02T02:47:38.165204Z
PROD_000004,ProDock 14,Storage,1397.73,25,2025-08-22T15:05:10.181756Z,2026-07-20T13:02:55.058356Z
PROD_000005,CoreSwitch Elite,Audio,2157.07,186,2024-12-07T14:49:03.330885Z,2025-05-04T09:39:35.339896Z
PROD_000006,SecureVault Pro,Networking,1191.11,63,2026-02-06T12:12:09.166492Z,2026-06-23T22:42:33.870941Z
PROD_000007,VisionPanel S,Electronics,1672.54,298,2024-08-27T08:26:45.439443Z,2024-11-16T11:32:37.339784Z
PROD_000008,StreamDeck S,Electronics,351.22,662,2025-05-05T13:56:53.996994Z,2026-01-11T08:28:09.728523Z
PROD_000009,SwiftDrive Elite,Audio,1515.61,480,2025-07-17T15:35:57.562396Z,2025-10-15T08:00:28.003778Z
PROD_000010,PowerHub Elite,Electronics,1949.85,444,2026-07-17T02:09:57.644687Z,2026-07-21T16:32:38.475802Z
PROD_000011,MeshCam Air,Networking,2289.55,524,2025-01-04T04:57:25.720389Z,2026-07-16T23:04:45.675179Z
PROD_000012,UltraBook X2,Software,1820.24,76,2025-04-21T20:33:27.034891Z,2025-06-21T10:24:46.752075Z
PROD_000013,ProDock S,Software,969.81,890,2026-01-10T18:53:23.666870Z,2026-01-12T02:09:29.610935Z
PROD_000014,EdgeRouter Pro,Peripherals,1268.78,243,2024-12-05T11:43:43.283175Z,2025-06-01T02:53:25.830265Z
PROD_000015,QuietKey Lite,Software,67.76,2,2026-03-14T22:07:30.001231Z,2026-04-04T22:32:49.759096Z
