ncinstid,institution_name,building_id,institution_key
1,The New York & Presbyterian,1,1
2,Ralph Lauren Corporation,1,2
3,FASHIONPHILE,2,3
4,Convene,2,4
5,Convene 31,2,5
6,Jack Studios Inc,1,6
7,Mizuho Americas Services,3,7
8,Amazon,3,8
9,Warburg Pincus,1,9
10,Linhart Dentistry,4,10
11,RGN-New York XXXII LLC,4,11
12,Palantir & Current,3,12
13,Roku,2,13
14,32 BJ Union,1,14
15,Canada,5,15
16,Guidehouse,5,16
17,StoneX Group Inc,4,17
18,RXR (75 Rock),1,18
19,Elite Model World,2,19
20,West Monroe,3,20
21,STRAUB COLLABORATIVE,4,21
22,JP Morgan Chase,5,22
23,Cahill Gordon,5,23
24,Locality,2,24
25,Persistent Systems LLC,3,25
26,The Bliss Group,4,26
27,Equus Workforce,5,27
28,BasePoint Capital,1,28
29,OXO International Inc,2,29
30,MHANY,3,30
