id,card_holder_key,card_holder,card_holder_inst_key,building_key,date_key,time_key,reader_key,user_type,hour,used_presence_this_day,is_enrolled_today,company,user_type_label
1,147,c17b1348-3a36-0ba7-8391-9f8ebc4d92d6,6,1,20251103,823,20,2,13,0,0,Jack Studios Inc,Visitor
2,229,97a05e30-149a-42c8-bfff-6430a1061ef4,14,1,20251222,839,7,1,13,0,0,32 BJ Union,Personnel
3,155,c15dc3c6-879b-4d76-efcb-fcb55d1e6214,7,3,20251216,975,16,1,16,0,0,Mizuho Americas Services,Personnel
4,59,cc6b6a81-8e6b-00fd-b027-35ced08bbdf5,2,1,20260122,951,19,1,15,0,1,Ralph Lauren Corporation,Personnel
5,223,64591253-d8a1-c945-7861-f0fb97b6b787,13,2,20260128,821,7,1,13,0,0,Roku,Personnel
6,201,f0a8b495-8758-b193-d7d5-504639cc60bc,10,4,20251218,594,14,1,9,0,0,Linhart Dentistry,Personnel
7,284,c43eba0b-e813-b4fa-e8a4-8894f7f2564e,23,5,20251104,859,6,1,14,0,0,Cahill Gordon,Personnel
8,194,8fb5a23e-c950-ce69-f06a-d956a373c054,9,1,20251215,544,12,1,9,0,0,Warburg Pincus,Personnel
9,204,03a19036-8e1d-d5eb-126f-9ddd281332bd,10,4,20260126,621,20,1,10,0,0,Linhart Dentistry,Personnel
10,73,4fd57be5-20d0-23f0-d53b-7cf8abbae1a1,3,2,20260127,872,1,1,14,0,0,FASHIONPHILE,Personnel
11,154,917e28a7-e138-938b-248b-8c1570825695,7,3,20260113,560,6,1,9,0,0,Mizuho Americas Services,Personnel
12,278,7f1f3fd9-b63c-71e8-2fe8-ffbadff9d442,22,5,20251222,555,19,1,9,0,0,JP Morgan Chase,Personnel
13,28,3919f338-f22c-dcca-a980-b6d5b90849fd,1,1,20251223,859,3,1,14,0,0,The New York & Presbyterian,Personnel
14,169,d5b55ec3-6648-5994-6790-bc6ddef9ddff,8,3,20251203,673,15,1,11,0,0,Amazon,Personnel
15,211,7c81f492-0cca-fc8f-9f02-e80fe36f76a2,11,4,20251217,442,9,1,7,0,0,RGN-New York XXXII LLC,Personnel
16,6,7ca47c89-8972-22b9-acc5-726e7ea166fe,1,1,20251105,665,8,1,11,0,0,The New York & Presbyterian,Personnel
17,266,e0e3b519-3187-0247-45e0-82d954c47c38,19,2,20260120,941,19,2,15,0,0,Elite Model World,Visitor
18,58,d112b16f-b0e9-f3be-51db-58d0756e8327,2,1,20251119,817,12,2,13,0,0,Ralph Lauren Corporation,Visitor
19,26,44413f8f-6262-02ec-e01e-0217c87acef5,1,1,20251205,659,15,1,10,0,1,The New York & Presbyterian,Personnel
20,202,9f502a29-f707-81f3-3376-d335be6c6225,10,4,20260210,887,8,1,14,0,1,Linhart Dentistry,Personnel
21,167,e6329b9f-76e1-5a1a-6284-e47ff6e3519e,8,3,20251222,838,1,1,13,0,0,Amazon,Personnel
22,94,c666fcc8-ce0e-93fe-a94b-6c0f8384ed78,4,2,20260130,717,7,1,11,0,0,Convene,Personnel
23,124,c751cc4a-36fc-f9ae-a6d8-ab1f25da3e8d,5,2,20251119,769,13,1,12,0,1,Convene 31,Personnel
24,92,03eadd55-3ced-2f7e-5dd1-f62d068a2039,4,2,20260113,1109,14,1,18,0,0,Convene,Personnel
25,199,91af50fc-e08a-fe5b-a49f-70c0057b19d8,10,4,20260102,552,1,1,9,0,0,Linhart Dentistry,Personnel
26,114,2b0b6f7b-5406-8dd1-bd02-5ac3d62bfc1d,5,2,20260116,493,20,1,8,0,0,Convene 31,Personnel
27,156,340bcc82-297f-99c2-a472-8395aadd3f06,7,3,20251128,735,19,1,12,0,0,Mizuho Americas Services,Personnel
28,211,7c81f492-0cca-fc8f-9f02-e80fe36f76a2,11,4,20260205,658,9,1,10,0,0,RGN-New York XXXII LLC,Personnel
29,287,ea0ef881-5cbd-8807-49f1-d3101d4ed15e,24,2,20251230,487,1,1,8,1,1,Locality,Personnel
